Dataset,BnB_time,BnB_size,BnB_relerr,Approx_time,Approx_size,Approx_relerr,LS1_time,LS1_size,LS1_relerr,LS2_time,LS2_size,LS2_relerr
large1,1800.0017,0,-1.0,0.1589,83,0.66,1320.2653,83,0.66,5.8617,83,0.66
large10,1800.0013,0,-1.0,0.1121,319,0.4434,3602.4392,319,0.4434,16.2905,319,0.4434
large11,1800.0002,0,-1.0,0.0278,56,0.4,173.2709,56,0.4,0.7227,56,0.4
large12,1800.0001,0,-1.0,0.0012,18,0.2,3.8732,18,0.2,0.017,18,0.2
large2,2145.4898,0,-1.0,0.0005,21,0.1053,1.7689,21,0.1053,0.0077,21,0.1053
large3,1970.9798,0,-1.0,0.0026,17,0.1333,7.5896,17,0.1333,0.0342,17,0.1333
large4,2051.902,0,-1.0,0.0495,153,0.6813,837.2119,153,0.6813,3.2668,153,0.6813
large5,2719.9063,8,0.3333,0.0015,8,0.3333,2.0016,8,0.3333,0.0095,8,0.3333
large6,2074.9089,7,0.1667,0.003,7,0.1667,3.2417,7,0.1667,0.0163,7,0.1667
large7,2692.8304,0,-1.0,0.1406,172,0.8105,2513.1287,172,0.8105,10.6321,172,0.8105
large8,2611.8857,5,0.0,0.0007,6,0.2,0.7335,6,0.2,0.0039,6,0.2
large9,1985.0429,0,-1.0,0.0023,16,0.1429,7.249,16,0.1429,0.0309,16,0.1429
small1,0.0015,5,0.0,0.0,5,0.0,0.0001,5,0.0,0.0001,5,0.0
small10,0.0003,2,0.0,0.0,3,0.5,0.0036,3,0.5,0.0,3,0.5
small11,0.0053,4,0.0,0.0,5,0.25,0.0141,5,0.25,0.0001,5,0.25
small12,0.0022,3,0.0,0.0,4,0.3333,0.0082,4,0.3333,0.0001,4,0.3333
small13,0.0003,2,0.0,0.0,3,0.5,0.0027,3,0.5,0.0,3,0.5
small14,0.0003,2,0.0,0.0,3,0.5,0.0023,3,0.5,0.0,3,0.5
small15,0.0007,2,0.0,0.0,3,0.5,0.0052,3,0.5,0.0001,3,0.5
small16,0.0005,2,0.0,0.0,3,0.5,0.0039,3,0.5,0.0,3,0.5
small17,0.0011,2,0.0,0.0,3,0.5,0.0078,3,0.5,0.0001,3,0.5
small18,0.0008,2,0.0,0.0,3,0.5,0.0063,3,0.5,0.0001,3,0.5
small2,0.0003,3,0.0,0.0,4,0.3333,0.0029,4,0.3333,0.0,4,0.3333
small3,0.0042,5,0.0,0.0,6,0.2,0.009,6,0.2,0.0001,6,0.2
small4,0.001,4,0.0,0.0,5,0.25,0.0061,5,0.25,0.0001,5,0.25
small5,0.0152,5,0.0,0.0,6,0.2,0.0145,6,0.2,0.0001,6,0.2
small6,0.0013,3,0.0,0.0,4,0.3333,0.0075,4,0.3333,0.0001,4,0.3333
small7,0.0004,3,0.0,0.0,4,0.3333,0.0033,4,0.3333,0.0,4,0.3333
small8,0.0003,2,0.0,0.0,3,0.5,0.0024,3,0.5,0.0,3,0.5
small9,0.0007,3,0.0,0.0,4,0.3333,0.0069,4,0.3333,0.0001,4,0.3333
test1,0.0002,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0
test2,0.0002,2,0.0,0.0,3,0.5,0.0015,3,0.5,0.0,3,0.5
test3,0.0019,6,0.0,0.0,7,0.1667,0.0037,7,0.1667,0.0001,7,0.1667
test4,0.0003,4,0.0,0.0,5,0.25,0.0,5,0.25,0.0,5,0.25
test5,0.0004,4,0.0,0.0,5,0.25,0.0037,5,0.25,0.0,5,0.25
